name,ra,dec
SDSSJ095410.96+69020,148.54566666666668,69.03525
SDSSJ095435.62+69064,148.64845833333334,69.11194444444445
SDSSJ095451.78+69194,148.71575,69.32930555555555
SDSSJ095625.57+69072,149.10654166666666,69.12441666666666
SDSSJ095754.70+68490,149.47791666666666,68.81688888888888
SDSSJ095816.17+21052,149.567375,21.089027777777776
SDSSJ095845.57+02205,149.689875,2.3484444444444446
SDSSJ095846.99+02254,149.69579166666668,2.4301944444444445
SDSSJ095905.73+46265,149.77391666666665,46.44738888888889
SDSSJ095953.50+02263,149.97291666666666,2.4424166666666665
zCOSMOS839354,150.03062500000001,2.535722222222222
SDSSJ100130.73+02190,150.37808333333334,2.3181944444444444
MCG-01-26-009,150.390125,-6.525111111111111
SDSSJ100448.95+04243,151.20395833333333,4.408861111111111
2MASXJ10110536-02014,152.77245833333333,-2.027888888888889
SDSSJ102459.81+17083,156.24920833333334,17.14438888888889
SDSSJ102813.74+01065,157.05729166666666,1.1145277777777778
WIGS11J103640125+065,159.16716666666667,6.956722222222222
SDSSJ103828.83+01005,159.620125,1.0139444444444445
WIGS11J103945598+000,159.94,0.050472222222222224
WIGS11J104119285+014,160.33033333333333,1.7621944444444444
SDSSJ104458.51+00573,161.24379166666665,0.9591111111111111
SDSSJ104622.90+00381,161.59541666666667,0.6364444444444445
SDSSJ104955.40+23040,162.480875,23.068583333333333
SDSSJ105224.24-00471,163.10104166666667,-0.7878055555555555
SDSSJ105230.99+23000,163.12916666666666,23.001416666666668
SDSSJ110458.29+29081,166.24291666666667,29.137916666666666
SDSSJ111147.05+18512,167.94591666666665,18.857055555555554
LSBCF570-04,168.23875,18.761583333333334
SDSSJ111415.75+19262,168.56566666666666,19.440472222222223
SDSSJ111422.10+18133,168.592125,18.22608333333333
SDSSJ111521.37+19143,168.83908333333332,19.242305555555557
2MASXJ11160602+18124,169.02495833333333,18.211444444444446
SDSSJ111659.61+18024,169.24841666666669,18.046027777777777
SDSSJ111748.40+16382,169.45166666666665,16.640055555555556
SDSSJ111756.49+17372,169.48541666666665,17.624111111111112
SDSSJ111757.22+50432,169.4884583333333,50.724777777777774
IC2703,169.521375,17.649527777777777
MCG+03-29-030,169.80145833333333,18.059333333333335
SDSSJ112016.99+45232,170.07083333333333,45.38963888888889
SDSSJ112528.95+16101,171.370625,16.172027777777778
SDSSJ112629.06+00165,171.62108333333333,0.2826111111111111
SDSSJ114440.70+16535,176.169625,16.89966666666667
SDSSJ114717.56+16200,176.82316666666668,16.334583333333335
SDSSJ115404.43+30063,178.51891666666666,30.109638888888888
SDSSJ115627.51+12511,179.114625,12.85438888888889
SDSSJ115932.83+22414,179.88683333333333,22.696583333333333
SDSSJ115950.24+25053,179.95933333333335,25.093027777777777
SDSSJ120254.45+18450,180.72687499999998,18.752416666666665
SDSSJ120255.50+18451,180.73125,18.754166666666666
2MASXJ12052642+22433,181.36012499999998,22.727083333333333
SDSSJ120749.97+31330,181.95825,31.552138888888887
SDSSJ121055.77+25033,182.73250000000002,25.05925
SDSSJ121349.28+14120,183.45533333333333,14.200666666666667
SDSSJ121413.52+13530,183.55633333333336,13.883777777777778
SDSSJ121444.04+14081,183.6835,14.137138888888888
KUG1212+211,183.73616666666666,20.897305555555555
SDSSJ121643.23+24430,184.18016666666668,24.71847222222222
SDSSJ121844.75+06440,184.68645833333335,6.7348333333333334
SDSSJ121923.35+19351,184.84733333333332,19.58736111111111
SDSSJ121939.69+06350,184.91537499999998,6.584083333333333
SDSSJ121948.91+06320,184.95379166666666,6.533833333333334
SDSSJ122147.07+05592,185.44616666666664,5.989
2MASXJ12223640-18105,185.65170833333332,-18.18063888888889
VCC0696,186.01683333333332,17.54947222222222
SDSSJ122407.37+06363,186.03070833333334,6.608583333333334
SDSSJ122447.67+18115,186.19866666666667,18.198083333333333
SDSSJ122543.23+33305,186.430125,33.51533333333333
SDSSJ122553.97+33322,186.474875,33.539611111111114
SDSSJ122559.00+33311,186.49583333333334,33.52011111111111
SDSSJ122613.90+03501,186.55791666666664,3.837138888888889
SDSSJ122641.71+18081,186.67383333333333,18.137083333333333
IC3368,186.83491666666666,16.428583333333332
SDSSJ122724.99+19154,186.85416666666666,19.263555555555556
SDSSJ122828.08+37140,187.117,37.234833333333334
SDSSJ122921.19+16482,187.33833333333334,16.806305555555557
SDSSJ122943.35+17305,187.43066666666667,17.515527777777777
SDSSJ122943.88+07575,187.43283333333332,7.965805555555556
SDSSJ123057.38+12254,187.73908333333333,12.429027777777778
SDSSJ123248.18+37372,188.20075,37.62258333333333
SDSSJ123329.59+03473,188.3732916666667,3.7938333333333336
SDSSJ123424.15+25312,188.60066666666665,25.522277777777777
SDSSJ123549.47+20175,188.95612500000001,20.29863888888889
IC3580,189.12179166666667,18.3005
SDSSJ123954.36+61364,189.97650000000002,61.61186111111111
SDSSJ124014.86+26183,190.06175,26.31036111111111
SDSSJ124125.41+19131,190.35591666666667,19.221527777777776
SDSSJ124147.29+32512,190.44708333333335,32.85791666666667
SDSSJ124324.59+32285,190.8525,32.48213888888889
SDSSJ124343.61+16234,190.93170833333335,16.3965
SDSSJ124351.95+13081,190.96645833333335,13.136833333333334
SDSSJ124357.71+05124,190.99045833333335,5.213361111111111
SDSSJ124445.22+12210,191.18841666666665,12.352361111111112
SDSSJ124509.68+10374,191.290375,10.63038888888889
SDSSJ124533.29+10292,191.38870833333334,10.490472222222222
SDSSJ124936.89+21550,192.40354166666668,21.917805555555557
VCC2083,192.56025,10.540055555555556
SDSSJ125339.83+01342,193.416,1.5748611111111113
SDSSJ125355.24+19153,193.48024999999998,19.259305555555557
SDSSJ125448.59+19103,193.70245833333334,19.177194444444446
