oldName,freqTargeted,diameters,dRatio,pa,completeList
NGC6851A,"RC3 D_25, R_25 (blue)","(79.099999999999994, 32.979999999999997)",0.41999999999999998,54,"[['ESO-Uppsala ""Quick Blue"" IIa-O', (102.0, 54.0), 0.53000000000000003, 54], ['ESO-LV ""Quick Blue"" IIa-O', (84.140000000000001, 159.05000000000001), 0.53000000000000003, 54], ['ESO-LV ""Quick Blue"" IIa-O', (101.16, 191.22999999999999), 0.53000000000000003, 54], ['ESO-LV ""Quick Blue"" IIa-O', (114.81999999999999, 217.05000000000001), 0.53000000000000003, 54], ['ESO-LV ""Quick Blue"" IIa-O', (64.569999999999993, 122.06), 0.53000000000000003, 54], ['ESO-LV ""Quick Blue"" IIa-O', (74.129999999999995, 140.13), 0.53000000000000003, 54], ['ESO-LV ""Quick Blue"" IIa-O', (88.099999999999994, 166.53999999999999), 0.53000000000000003, 54], ['ESO-LV ""Quick Blue"" IIa-O', (51.289999999999999, 96.959999999999994), 0.53000000000000003, 54], ['ESO-LV ""Quick Blue"" IIa-O', (39.810000000000002, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (31.190000000000001, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (59.299999999999997, 281.04000000000002), 0.20999999999999999, 44], ['ESO-LV IIIa-F', (21.66, None), None, None], ['RC3 D_25, R_25 (blue)', (79.099999999999994, 32.979999999999997), 0.41999999999999998, 54], ['RC3 D_0 (blue)', (80.900000000000006, None), None, None]]"
UGC04043,"K_s (2MASS ""total"")","(159.5, 22.329999999999998)",0.14000000000000001,5,"[['POSS1 103a-O', (132.0, 12.0), 0.089999999999999997, 5], ['K_s (2MASS isophotal)', (108.40000000000001, 15.18), 0.14000000000000001, 5], ['K_s (2MASS ""total"")', (159.5, 22.329999999999998), 0.14000000000000001, 5], ['POSS1 103a-O', (120.0, 15.0), 0.12, None], ['RC3 D_25, R_25 (blue)', (125.40000000000001, 14.039999999999999), 0.11, 5], ['RC3 D_0 (blue)', (128.30000000000001, None), None, None]]"
NGC3249,"K_s (2MASS ""total"")","(108.8, 97.920000000000002)",0.90000000000000002,0,"[['K_s (2MASS isophotal)', (59.0, 53.100000000000001), 0.90000000000000002, 0], ['K_s (2MASS ""total"")', (108.8, 97.920000000000002), 0.90000000000000002, 0], ['POSS1 103a-E', (90.0, 72.0), 0.80000000000000004, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (120.0, 96.0), 0.80000000000000004, 139], ['ESO-LV ""Quick Blue"" IIa-O', (94.409999999999997, 118.01000000000001), 0.80000000000000004, 139], ['ESO-LV ""Quick Blue"" IIa-O', (110.92, 138.65000000000001), 0.80000000000000004, 139], ['ESO-LV ""Quick Blue"" IIa-O', (123.03, 153.78999999999999), 0.80000000000000004, 139], ['ESO-LV ""Quick Blue"" IIa-O', (62.369999999999997, 77.959999999999994), 0.80000000000000004, 139], ['ESO-LV ""Quick Blue"" IIa-O', (73.280000000000001, 91.599999999999994), 0.80000000000000004, 139], ['ESO-LV ""Quick Blue"" IIa-O', (89.129999999999995, 111.41), 0.80000000000000004, 139], ['ESO-LV ""Quick Blue"" IIa-O', (45.710000000000001, 57.140000000000001), 0.80000000000000004, 139], ['ESO-LV ""Quick Blue"" IIa-O', (40.740000000000002, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (15.550000000000001, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (2.3100000000000001, 2.6699999999999999), 0.85999999999999999, 125], ['ESO-LV IIIa-F', (2.0600000000000001, None), None, None], ['RC3 D_25, R_25 (blue)', (95.099999999999994, 77.319999999999993), 0.81000000000000005, 139], ['RC3 D_0 (blue)', (101.90000000000001, None), None, None]]"
IC5063,"K_s (2MASS ""total"")","(118.90000000000001, 109.39)",0.92000000000000004,125,"[['K_s (2MASS isophotal)', (81.599999999999994, 75.069999999999993), 0.92000000000000004, 125], ['K_s (2MASS ""total"")', (118.90000000000001, 109.39), 0.92000000000000004, 125], ['ESO-Uppsala ""Quick Blue"" IIa-O', (180.0, 120.0), 0.67000000000000004, 116], ['ESO-LV ""Quick Blue"" IIa-O', (146.22, 219.22), 0.67000000000000004, 116], ['ESO-LV ""Quick Blue"" IIa-O', (204.16999999999999, 306.10000000000002), 0.67000000000000004, 116], ['ESO-LV ""Quick Blue"" IIa-O', (263.02999999999997, 394.35000000000002), 0.67000000000000004, 116], ['ESO-LV ""Quick Blue"" IIa-O', (107.15000000000001, 160.63999999999999), 0.67000000000000004, 116], ['ESO-LV ""Quick Blue"" IIa-O', (142.88999999999999, 214.22999999999999), 0.67000000000000004, 116], ['ESO-LV ""Quick Blue"" IIa-O', (201.84, 302.61000000000001), 0.67000000000000004, 116], ['ESO-LV ""Quick Blue"" IIa-O', (60.259999999999998, 90.340000000000003), 0.67000000000000004, 116], ['ESO-LV ""Quick Blue"" IIa-O', (50.119999999999997, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (14.67, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (0.33000000000000002, 0.42999999999999999), 0.76000000000000001, 121], ['ESO-LV IIIa-F', (0.10000000000000001, None), None, None], ['RC3 D_25, R_25 (blue)', (128.30000000000001, 86.730000000000004), 0.68000000000000005, 116], ['RC3 A_e (Johnson B)', (53.5, None), None, None], ['RC3 D_0 (blue)', (128.30000000000001, None), None, None]]"
IRAS04416+2809,x,"('x', 'x')",x,x,['x']
NGC3394,"K_s (2MASS ""total"")","(148.09999999999999, 100.70999999999999)",0.68000000000000005,80,"[['POSS1 103a-O', (120.0, 96.0), 0.80000000000000004, 35], ['K_s (2MASS isophotal)', (66.599999999999994, 45.289999999999999), 0.68000000000000005, 80], ['K_s (2MASS ""total"")', (148.09999999999999, 100.70999999999999), 0.68000000000000005, 80], ['POSS1 103a-O', (36.0, 27.0), 0.75, None], ['POSS1 103a-O', (108.0, 72.0), 0.67000000000000004, None], ['RC3 D_25, R_25 (blue)', (114.3, 84.700000000000003), 0.73999999999999999, 35], ['RC3 D_0 (blue)', (114.3, None), None, None], ['r (SDSS Isophotal)', (109.13, 72.069999999999993), 0.66000000000000003, 59], ['r (SDSS Petrosian)', (54.100000000000001, None), None, None], ['r (SDSS de Vaucouleurs)', (23.5, 23.41), 1.0, 53], ['r (SDSS Exponential)', (16.82, 11.94), 0.70999999999999996, 49], ['r (SDSS Isophotal)', (109.13, 72.060000000000002), 0.66000000000000003, 59], ['r (SDSS Petrosian)', (54.100000000000001, None), None, None], ['r (SDSS deVaucouleurs)', (23.5, 23.399999999999999), 1.0, 53], ['r (SDSS Exponential)', (16.82, 11.94), 0.70999999999999996, 49]]"
AGC160545,x,"('x', 'x')",x,x,['x']
NGC6758,"K_s (2MASS ""total"")","(145.90000000000001, 119.64)",0.81999999999999995,110,"[['K_s (2MASS isophotal)', (102.40000000000001, 83.969999999999999), 0.81999999999999995, 110], ['K_s (2MASS ""total"")', (145.90000000000001, 119.64), 0.81999999999999995, 110], ['ESO-Uppsala ""Quick Blue"" IIa-O', (138.0, 96.0), 0.69999999999999996, 121], ['ESO-LV ""Quick Blue"" IIa-O', (153.11000000000001, 194.30000000000001), 0.79000000000000004, 106], ['ESO-LV ""Quick Blue"" IIa-O', (218.78, 277.63999999999999), 0.79000000000000004, 106], ['ESO-LV ""Quick Blue"" IIa-O', (281.83999999999997, 357.66000000000003), 0.79000000000000004, 106], ['ESO-LV ""Quick Blue"" IIa-O', (109.65000000000001, 139.15000000000001), 0.79000000000000004, 106], ['ESO-LV ""Quick Blue"" IIa-O', (153.11000000000001, 194.30000000000001), 0.79000000000000004, 106], ['ESO-LV ""Quick Blue"" IIa-O', (221.31, 280.85000000000002), 0.79000000000000004, 106], ['ESO-LV ""Quick Blue"" IIa-O', (55.590000000000003, 70.549999999999997), 0.79000000000000004, 106], ['ESO-LV ""Quick Blue"" IIa-O', (48.979999999999997, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (13.789999999999999, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (0.14000000000000001, 0.17000000000000001), 0.82999999999999996, 111], ['ESO-LV IIIa-F', (0.01, None), None, None], ['RC3 D_25, R_25 (blue)', (134.30000000000001, 104.22), 0.78000000000000003, 121], ['RC3 A_e (Johnson B)', (40.600000000000001, None), None, None], ['RC3 D_0 (blue)', (134.30000000000001, None), None, None]]"
2MASXJ12110805-2435132,"K_s (2MASS ""total"")","(19.899999999999999, 10.35)",0.52000000000000002,105,"[['K_s (2MASS isophotal)', (14.199999999999999, 7.3799999999999999), 0.52000000000000002, 105], ['K_s (2MASS ""total"")', (19.899999999999999, 10.35), 0.52000000000000002, 105]]"
PGC058608,"K_s (2MASS ""total"")","(81.700000000000003, 55.560000000000002)",0.68000000000000005,115,"[['K_s (2MASS isophotal)', (48.799999999999997, 33.18), 0.68000000000000005, 115], ['K_s (2MASS ""total"")', (81.700000000000003, 55.560000000000002), 0.68000000000000005, 115], ['RC3 D_25, R_25 (blue)', (90.799999999999997, 48.759999999999998), 0.54000000000000004, None], ['RC3 D_0 (blue)', (140.69999999999999, None), None, None]]"
6dFJ1447005-164601,x,"('x', 'x')",x,x,['x']
SDSSJ114950.02+221252.2,r (SDSS Isophotal),"(20.710000000000001, 11.27)",0.54000000000000004,82,"[['r (SDSS Isophotal)', (20.710000000000001, 11.27), 0.54000000000000004, 82], ['r (SDSS Petrosian)', (3.77, None), None, None], ['r (SDSS deVaucouleurs)', (2.96, 1.4099999999999999), 0.46999999999999997, 82], ['r (SDSS Exponential)', (1.96, 1.0), 0.51000000000000001, 81]]"
UGC03797,POSS1 103a-O,"(66.0, 42.0)",0.64000000000000001,56,"[['POSS1 103a-O', (66.0, 42.0), 0.64000000000000001, 56], ['POSS1 103a-O', (24.0, 7.7999999999999998), 0.33000000000000002, None], ['POSS1 103a-O', (51.0, 42.0), 0.81999999999999995, None]]"
H-ATLASJ085920.4+005139,x,"('x', 'x')",x,x,['x']
SBS0335-052,x,"('x', 'x')",x,x,['x']
PGC014905,"K_s (2MASS ""total"")","(82.900000000000006, 28.190000000000001)",0.34000000000000002,70,"[['K_s (2MASS isophotal)', (53.799999999999997, 18.289999999999999), 0.34000000000000002, 70], ['K_s (2MASS ""total"")', (82.900000000000006, 28.190000000000001), 0.34000000000000002, 70], ['ESO-LV ""Quick Blue"" IIa-O', (94.409999999999997, 518.74000000000001), 0.17999999999999999, 71], ['ESO-LV ""Quick Blue"" IIa-O', (113.5, 623.63), 0.17999999999999999, 71], ['ESO-LV ""Quick Blue"" IIa-O', (134.90000000000001, 741.21000000000004), 0.17999999999999999, 71], ['ESO-LV ""Quick Blue"" IIa-O', (48.420000000000002, 266.04000000000002), 0.17999999999999999, 71], ['ESO-LV ""Quick Blue"" IIa-O', (58.880000000000003, 323.51999999999998), 0.17999999999999999, 71], ['ESO-LV ""Quick Blue"" IIa-O', (77.620000000000005, 426.48000000000002), 0.17999999999999999, 71], ['ESO-LV ""Quick Blue"" IIa-O', (33.5, 184.06999999999999), 0.17999999999999999, 71], ['ESO-LV ""Quick Blue"" IIa-O', (15.49, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (9.3300000000000001, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (1.98, 6.0700000000000003), 0.33000000000000002, 69], ['ESO-LV IIIa-F', (0.57999999999999996, None), None, None]]"
H-ATLASJ090520.3-000213,x,"('x', 'x')",x,x,['x']
SDSSJ130350.49+280315.8,"K_s (2MASS ""total"")","(30.399999999999999, 12.77)",0.41999999999999998,170,"[['K_s (2MASS isophotal)', (16.800000000000001, 7.0599999999999996), 0.41999999999999998, 170], ['K_s (2MASS ""total"")', (30.399999999999999, 12.77), 0.41999999999999998, 170], ['r (SDSS Isophotal)', (29.68, 11.18), 0.38, 172], ['r (SDSS Petrosian)', (5.75, None), None, None], ['r (SDSS deVaucouleurs)', (6.8899999999999997, 1.8300000000000001), 0.27000000000000002, 173], ['r (SDSS Exponential)', (3.75, 1.05), 0.28000000000000003, 174]]"
ISOSSJ00075-7211,"K_s (2MASS ""total"")","(71.900000000000006, 14.380000000000001)",0.20000000000000001,55,"[['K_s (2MASS isophotal)', (45.0, 9.0), 0.20000000000000001, 55], ['K_s (2MASS ""total"")', (71.900000000000006, 14.380000000000001), 0.20000000000000001, 55], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 12.0), 0.20000000000000001, 54], ['ESO-LV ""Quick Blue"" IIa-O', (63.100000000000001, 315.5), 0.20000000000000001, 54], ['ESO-LV ""Quick Blue"" IIa-O', (74.129999999999995, 370.64999999999998), 0.20000000000000001, 54], ['ESO-LV ""Quick Blue"" IIa-O', (82.219999999999999, 411.10000000000002), 0.20000000000000001, 54], ['ESO-LV ""Quick Blue"" IIa-O', (37.579999999999998, 187.90000000000001), 0.20000000000000001, 54], ['ESO-LV ""Quick Blue"" IIa-O', (43.149999999999999, 215.75), 0.20000000000000001, 54], ['ESO-LV ""Quick Blue"" IIa-O', (53.090000000000003, 265.44999999999999), 0.20000000000000001, 54], ['ESO-LV ""Quick Blue"" IIa-O', (29.170000000000002, 145.84999999999999), 0.20000000000000001, 54], ['ESO-LV ""Quick Blue"" IIa-O', (21.379999999999999, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (12.99, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (19.07, 81.150000000000006), 0.23000000000000001, 65], ['ESO-LV IIIa-F', (17.059999999999999, None), None, None]]"
MCG-06-07-003,"K_s (2MASS ""total"")","(80.299999999999997, 53.0)",0.66000000000000003,5,"[['K_s (2MASS isophotal)', (52.200000000000003, 34.450000000000003), 0.66000000000000003, 5], ['K_s (2MASS ""total"")', (80.299999999999997, 53.0), 0.66000000000000003, 5], ['POSS1 103a-E', (60.0, 36.0), 0.59999999999999998, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 36.0), 0.59999999999999998, 7], ['ESO-LV ""Quick Blue"" IIa-O', (66.829999999999998, 111.38), 0.59999999999999998, 7], ['ESO-LV ""Quick Blue"" IIa-O', (74.989999999999995, 124.98), 0.59999999999999998, 7], ['ESO-LV ""Quick Blue"" IIa-O', (79.400000000000006, 132.33000000000001), 0.59999999999999998, 7], ['ESO-LV ""Quick Blue"" IIa-O', (79.430000000000007, 132.38), 0.59999999999999998, 7], ['ESO-LV ""Quick Blue"" IIa-O', (40.270000000000003, 67.120000000000005), 0.59999999999999998, 7], ['ESO-LV ""Quick Blue"" IIa-O', (46.240000000000002, 77.069999999999993), 0.59999999999999998, 7], ['ESO-LV ""Quick Blue"" IIa-O', (54.950000000000003, 91.579999999999998), 0.59999999999999998, 7], ['ESO-LV ""Quick Blue"" IIa-O', (30.899999999999999, 51.5), 0.59999999999999998, 7], ['ESO-LV ""Quick Blue"" IIa-O', (24.829999999999998, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (14.27, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (20.539999999999999, 36.549999999999997), 0.56000000000000005, 8], ['ESO-LV IIIa-F', (13.869999999999999, None), None, None]]"
