oldName,freqTargeted,diameters,dRatio,pa,completeList
NGC3394,"K_s (2MASS ""total"")","(148.1, 100.71)",0.68,80.0,"[['POSS1 103a-O', (120.0, 96.0), 0.8, 35.0], ['K_s (2MASS isophotal)', (66.6, 45.29), 0.68, 80.0], ['K_s (2MASS ""total"")', (148.1, 100.71), 0.68, 80.0], ['POSS1 103a-O', (36.0, 27.0), 0.75, None], ['POSS1 103a-O', (108.0, 72.0), 0.67, None], ['RC3 D_25, R_25 (blue)', (114.3, 84.7), 0.74, 35.0], ['RC3 D_0 (blue)', (114.3, None), None, None], ['r (SDSS Isophotal)', (109.13, 72.07), 0.66, 59.0], ['r (SDSS Petrosian)', (54.1, None), None, None], ['r (SDSS de Vaucouleurs)', (23.5, 23.41), 1.0, 53.0], ['r (SDSS Exponential)', (16.82, 11.94), 0.71, 49.0], ['r (SDSS Isophotal)', (109.13, 72.06), 0.66, 59.0], ['r (SDSS Petrosian)', (54.1, None), None, None], ['r (SDSS deVaucouleurs)', (23.5, 23.4), 1.0, 53.0], ['r (SDSS Exponential)', (16.82, 11.94), 0.71, 49.0]]"
AGC160545,x,"('x', 'x')",x,x,['x']
NGC6758,x,"('x', 'x')",x,x,['x']
2MASXJ12110805-2435132,"K_s (2MASS ""total"")","(19.9, 10.35)",0.52,105.0,"[['K_s (2MASS isophotal)', (14.2, 7.38), 0.52, 105.0], ['K_s (2MASS ""total"")', (19.9, 10.35), 0.52, 105.0]]"
PGC058608,"K_s (2MASS ""total"")","(81.7, 55.56)",0.68,115.0,"[['K_s (2MASS isophotal)', (48.8, 33.18), 0.68, 115.0], ['K_s (2MASS ""total"")', (81.7, 55.56), 0.68, 115.0], ['RC3 D_25, R_25 (blue)', (90.8, 48.76), 0.54, None], ['RC3 D_0 (blue)', (140.7, None), None, None]]"
6dFJ1447005-164601,x,"('x', 'x')",x,x,['x']
SDSSJ114950.02+221252.2,r (SDSS Isophotal),"(20.71, 11.27)",0.54,82.0,"[['r (SDSS Isophotal)', (20.71, 11.27), 0.54, 82.0], ['r (SDSS Petrosian)', (3.77, None), None, None], ['r (SDSS deVaucouleurs)', (2.96, 1.41), 0.47, 82.0], ['r (SDSS Exponential)', (1.96, 1.0), 0.51, 81.0]]"
UGC03797,POSS1 103a-O,"(66.0, 42.0)",0.64,56.0,"[['POSS1 103a-O', (66.0, 42.0), 0.64, 56.0], ['POSS1 103a-O', (24.0, 7.8), 0.33, None], ['POSS1 103a-O', (51.0, 42.0), 0.82, None]]"
H-ATLASJ085920.4+005139,x,"('x', 'x')",x,x,['x']
SBS0335-052,x,"('x', 'x')",x,x,['x']
PGC014905,x,"('x', 'x')",x,x,['x']
H-ATLASJ090520.3-000213,x,"('x', 'x')",x,x,['x']
SDSSJ130350.49+280315.8,"K_s (2MASS ""total"")","(30.4, 12.77)",0.42,170.0,"[['K_s (2MASS isophotal)', (16.8, 7.06), 0.42, 170.0], ['K_s (2MASS ""total"")', (30.4, 12.77), 0.42, 170.0], ['r (SDSS Isophotal)', (29.68, 11.18), 0.38, 172.0], ['r (SDSS Petrosian)', (5.75, None), None, None], ['r (SDSS deVaucouleurs)', (6.89, 1.83), 0.27, 173.0], ['r (SDSS Exponential)', (3.75, 1.05), 0.28, 174.0]]"
