preferredName,oldName,redshift,degreesJ2000RA_Dec,J2000RA_Dec,galacticLong_Lat,rIndependentDistMean_sd_min_max (Mpc),RID,morphology,distanceIndicator,luminosityClass,EBminusV,radialVelocity (km/s),vcorr (km/s),angDiameters (arcsec),linDiameters (kpc),distvcorr (Mpc),inclination (deg),RC3_type,RC3_d25 (arcsec),RC3_r25,RC3_pa (deg),alternativeNames
IC4736,IC4736,0.011344,"(279.66588, -57.89328)","((18, 38, 39.8112), (-57, 53, 35.808))","(337.597419, -21.093548999999999)","('39.756', '8.293', '31.000', '55.900')","[39.756, 37.4, 7.818, 31.0, 55.9]",SB(s)dm,TF,LC IV-V,0.0741,3401,3336.309025,"(102.0, 54.0)","(23.237157174992419, 12.302023665037073)",46.99026796,58.03428125,.SBS8..,99.57521445,0.562341325,99,"['IC4736', 'ESO140-G034', 'ESO183420-5756.3', '2MASXJ18383941-5753423', '2MASXJ18383982-5753357', 'IRASF18343-5756', 'SGC183420-5756.3', 'ESO-LV1400340', 'AGC032005', 'HIPASSJ1838-57', 'PGC062181', 'IC4736']"
SBS1430+526,SBS1430+526,0.011344,"(218.13975, 52.41289)","((14, 32, 33.54), (52, 24, 46.404))","(93.073172, 58.452606000000003)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Spiral         BCD,x,x,0.0084,3401,3606.50702,"(37.2, 17.4)","(9.161070906534496, 4.2850170006330872)",50.79587352,62.11217976,x,x,x,x,"['SBS1430+526', 'SBS1430+526A', 'KUG1430+526', 'SDSSJ143233.53+522446.2', 'SDSSJ143233.53+522446.3', 'SDSSJ143233.54+522446.4', 'GALEXMSCJ143233.47+522449.0', 'CG0470', 'ASK302410.0', 'MAPS-NGPO_135_0160125', 'NSA053274', 'PGC051961', '[TTL2012]086162', 'SDSSJ143233.53+522446.6', 'SBS1430+526']"
2MASXJ23112203-2315247,2MASXJ23112203-2315247,0.011345,"(347.84188, -23.25689)","((23, 11, 22.0512), (-23, 15, 24.804))","(37.084789999999998, -67.073070000000001)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0205,3401,3120.402708,"(24.0, 18.0)","(5.113737229630801, 3.8353029146507849)",43.94933392,41.40962211,x,x,x,x,"['2MASXJ23112203-2315247', '2MASXiJ2311220-231525', 'GALEXASCJ231121.88-231524.1', 'DUKST535-017', '6dFJ2311220-231525', 'MRSS535-040404', 'LEDA195134', '2MASXJ23112203-2315247']"
NGC6851A,NGC6851A,0.011347,"(301.45214, -47.97825)","((20, 5, 48.5136), (-47, 58, 41.7))","(351.30523399999998, -31.917573999999998)","('31.600', '7.780', '21.700', '41.300')","[31.6, 31.1, 7.203, 21.7, 41.3]",(R')SB(s)m,TF,LC II-III,0.0472,3402,3270.426563,"(78.0, 30.0)","(17.418692125883155, 6.6994966993890506)",46.06234596,67.38013505,.S..4*/,79.09540431,0.416869383,54,"['NGC6851A', 'NGC6861A', 'ESO233-G025', 'ESO200211-4807.3', 'AM2002-480', 'GALEXASCJ200549.06-475840.9', 'SGC200211-4807.3', 'ESO-LV2330250', 'RR311b', 'HIPASSJ2005-47', 'PGC064086', 'NGC6851A']"
UGC04043,UGC04043,0.011348,"(117.69279, 54.36222)","((7, 50, 46.2696), (54, 21, 43.992))","(163.61196899999999, 30.221374000000001)","('71.155', '13.822', '52.500', '88.000')","[70.342, 77.3, 12.902, 52.5, 88.0]",Sc,TF,LC IV,0.04,3402,3517.371274,"(127.8, 18.0)","(30.694858803899766, 4.3232190075999251)",49.54044048,81.90325023,.S..7..,125.3577679,0.112201845,5,"['UGC04043', 'CGCG262-037', 'CGCG0746.8+5429', 'MCG+09-13-072', 'FGC0665', 'RFGC1265', '2MFGC06220', '2MASXJ07504626+5421439', 'GALEXASCJ075046.32+542141.6', 'IRAS07468+5429', 'IRASF07468+5429', 'PGC021970', 'UZCJ075046.2+542144', 'NVSSJ075046+542145', 'UGC04043']"
NGC3249,NGC3249,0.011348,"(156.59254, -34.96369)","((10, 26, 22.2096), (-34, 57, 49.284))","(272.07220000000001, 19.072004)","('44.800', 'N/A', '44.800', '44.800')","[44.8, 44.8, 1.62, 44.8, 44.8]",SAB(rs)cd:     HII,TF,LC III-IV,0.0812,3402,3570.636969,"(96.0, 78.0)","(23.406338405546634, 19.017649487839616)",50.29066154,35.6590877,.SXT6*.,95.09359155,0.812830516,139,"['NGC3249', 'ESO375-G024', 'ESO102407-3442.5', 'MCG-06-23-028', '2MASXJ10262222-3457493', 'GALEXASCJ102622.11-345748.4', 'IRAS10240-3442', 'SGC102407-3442.5', 'ESO-LV3750240', '6dFJ1026222-345749', 'LDCE0729NED067', 'HDCE0587NED001', 'AGC027127', 'PGC030657', 'NVSSJ102622-345746', 'AntliaGROUP:[FS90]028', 'LGG203:[G93]001', 'NGC3249']"
IC5063,IC5063,0.011348,"(313.00975, -57.06878)","((20, 52, 2.34), (-57, 4, 7.608))","(339.99116600000002, -38.735639999999997)","('', '12.426', '26.100', '58.300')","[37.867, 32.7, 11.343, 26.1, 58.3]",SA(s)0+:       Sy2,FJ,x,0.0526,3402,3251.706355,"(126.0, 84.0)","(27.976825690502967, 18.651215838146321)",45.79868105,48.1896851,.LAS+*.,128.2777254,0.676082975,116,"['IC5063', 'ESO187-G023', 'ESO204812-5715.5', 'AM2048-571', 'PKS2048-57', '2MASXJ20520232-5704076', 'IRAS20481-5715', 'IRASF20482-5715', 'AKARIJ2052024-570407', 'SGC204812-5715.5', 'ESO-LV1870230', 'RR331a', '6dFJ2052022-570408', '6dFJ2052023-570408', 'LQAC313-057001', 'APMBGC187+042+117', 'APMUKS(BJ)B204812.01-571526.0', 'PGC065600', 'PKSB2048-572', 'PKSJ2052-5704', 'PMNJ2051-5704', 'PMNM204806.1-571518', 'MRC2048-572', 'SUMSSJ205202-570406', 'AT20GJ205202-570407', 'MSH20-507', 'SPT-SJ205202-5704.1', '2PBCJ2052.0-5704', 'PBCJ2052.0-5704', '1AXGJ205201-5703', 'XSSJ20501-5646', 'SWIFTJ2052.0-5703', 'SWIFTJ2052.0-5704', 'SWIFTJ2052.1-5703', '[dML87]512', '[Sdd95]432a', '[VCV2001]J205202.2-570407', '[VCV2006]J205202.2-570407', '[WMR2009]138', '[MSC2011]J205202.25-570409.1', '[BTM2013]1092', '[AHG2014]B071', 'IC5063']"
IRAS04416+2809,IRAS04416+2809,0.011351,"(71.18239, 28.24906)","((4, 44, 43.7736), (28, 14, 56.616))","(172.79202799999999, -11.295932000000001)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.7357,3403,3323.486055,"('x', 'x')","('x', 'x')",46.80966274,x,x,x,x,x,"['IRAS04416+2809', 'LEDA100769', 'IRAS04416+2809']"
NGC3394,NGC3394,0.011353,"(162.66602, 65.72721)","((10, 50, 39.8448), (65, 43, 37.956))","(140.593887, 47.045721)","('69.083', '20.679', '34.900', '85.900')","[69.083, 65.8, 18.878, 34.9, 85.9]",SA(rs)c,TF,LC III,0.0112,3404,3574.913354,"(100.19999999999999, 69.0)","(24.459624976953663, 16.843453628797167)",50.35089231,46.47881341,.SAT5..,114.3276431,0.741310241,35,"['NGC3394', 'UGC05937', 'CGCG313-036', 'CGCG1047.2+6559', 'MCG+11-13-041', '2MASXJ10503976+6543377', '2MASXiJ1050392+654338', 'SDSSJ105039.84+654337.9', 'SDSSJ105039.84+654338.0', 'SDSSJ105039.85+654337.9', 'SDSSJ105039.85+654338.2', 'IRAS10473+6559', 'IRASF10473+6559', 'ASK064221.0', 'NSA012788', 'PGC032495', 'SSTSL2J105039.98+654338.1', 'UZCJ105039.9+654338', 'NVSSJ105040+654348', '[PVK2003]J162.66602+65.72722', '[TTL2012]374419', 'NGC3394']"
AGC160545,AGC160545,0.011354,"(98.4125, 26.48472)","((6, 33, 39.0), (26, 29, 4.992))","(187.27994100000001, 8.1396940000000004)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.1865,3404,3441.384445,"('x', 'x')","('x', 'x')",48.47020346,x,x,x,x,x,"['AGC160545', 'NSA134320', 'HIJ063337.5+262911', 'AGC160545']"
NGC6758,NGC6758,0.011355,"(288.46808, -56.30994)","((19, 13, 52.3392), (-56, 18, 35.784))","(340.57246500000002, -25.318407000000001)","('', '9.287', '27.900', '56.000')","[43.0, 43.6, 8.478, 27.9, 56.0]",E+:            LINER,FJ,x,0.0564,3404,3315.284433,"(132.0, 102.0)","(29.882112950230599, 23.090722373361562)",46.69414694,39.40056875,.E+..*.,134.3232683,0.776247117,121,"['NGC6758', 'ESO184-G037', 'ESO190943-5623.7', '2MASXJ19135231-5618356', 'GALEXASCJ191352.24-561836.4', 'CGS533', 'SGC190943-5623.7', 'ESO-LV1840370', 'LDCE1328NED018', 'HDCE1063NED005', 'PGC062935', 'SUMSSJ191352-561835', 'Str1908-566:[KUH87]103', 'LGG426:[G93]003', '[DZ2015]047-01', 'NGC6758']"
2MASXJ12110805-2435132,2MASXJ12110805-2435132,0.011355,"(182.7835, -24.587)","((12, 11, 8.04), (-24, 35, 13.2))","(291.38290499999999, 37.379286)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0715,3404,3641.293679,"('x', 'x')","('x', 'x')",51.28582647,x,x,x,x,x,"['2MASXJ12110805-2435132', '6dFJ1211080-243513', 'LEDA788397', '2MASXJ12110805-2435132']"
PGC058608,WKK7198,0.011357,"(249.217, -60.27647)","((16, 36, 52.08), (-60, 16, 35.292))","(327.61463199999997, -8.715052)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",SA(r)a:,x,LC I,0.1967,3405,3413.7784,"(90.0, 48.0)","(20.979463661478878, 11.189046778021151)",48.08138592,57.76904736,.SBR1?.,90.81367491,0.537031796,x,"['WKK7198', '2MASXJ16365206-6016347', 'IRAS16324-6010', 'CSRG0806', 'SGC1632.7-6010', 'LDCE1172NED146', 'HIPASSJ1637-60', 'PGC058608', 'WKK7198']"
6dFJ1447005-164601,6dFJ1447005-164601,0.011357,"(221.752, -16.76681)","((14, 47, 0.48), (-16, 46, 0.516))","(338.83607999999998, 37.918661999999998)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0925,3405,3615.04685,"('x', 'x')","('x', 'x')",50.91615282,x,x,x,x,x,"['6dFJ1447005-164601', '6dFJ1447005-164601']"
