preferredName,vcorr (km/s),bestDistance (Mpc),distErr (Mpc),angDiameters (arcsec),angDiameter errors (arcsec),linDiameters (kpc),linDiameter errors (kpc),inc (deg),adjustedInc (deg),incErr (deg),PA (deg),diameterKeys
2MASXJ13094664-5753480,6711.82,94.53,9.45,"(37.3, 28.35)","(1.9, 1.4)","(17.09, 12.99)","(1.7, 1.3)",41.0,42.0,5.0,95,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
2MASXJ13105161-5804479,6840.79,96.34,9.63,"(33.3, 22.64)","(1.7, 1.1)","(15.55, 10.58)","(1.6, 1.1)",47.0,48.0,4.0,40,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
PGC003154,6614.80,93.16,9.31,"(80.2, 16.04)","(4.0, 0.8)","(36.22, 7.245)","(3.6, 0.72)",78.0,90.0,0.8,65,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']"
2MASXJ03030449+2733462,6772.58,95.38,9.53,"(23.9, 20.08)","(1.2, 1.0)","(11.05, 9.284)","(1.1, 0.93)",33.0,34.0,6.0,155,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
2MASXJ06202388-6353506,7034.92,99.08,9.90,"(50.7, 23.32)","(2.5, 1.2)","(24.35, 11.2)","(2.4, 1.1)",63.0,65.0,2.0,10,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
2MASXJ13112359-5755471,7215.46,101.62,10.16,"(14.7, 11.76)","(0.73, 0.59)","(7.243, 5.794)","(0.72, 0.58)",37.0,38.0,5.0,40,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
2MASXJ13104152-5805140,7359.78,103.65,10.36,"(31.3, 21.91)","(1.6, 1.1)","(15.73, 11.01)","(1.6, 1.1)",46.0,47.0,4.0,60,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
PGC013393,7313.94,103.01,10.30,"(58.4, 29.2)","(2.9, 1.5)","(29.17, 14.58)","(2.9, 1.5)",60.0,62.0,2.0,127,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'ESO-LV ""Quick Blue"" IIa-O']"
2MFGC12885,7853.25,110.60,11.06,"(74.9, 25.47)","(3.7, 1.3)","(40.17, 13.66)","(4.0, 1.4)",70.0,74.0,1.0,80,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
2MASXJ14015457-5658379,8087.61,113.91,11.39,"(35.2, 19.71)","(1.8, 0.99)","(19.44, 10.89)","(1.9, 1.1)",56.0,58.0,3.0,175,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
PGC009864,8136.16,85.9,21.63,"(92.3, 18.46)","(4.6, 0.92)","(38.44, 7.688)","(9.7, 1.9)",78.0,90.0,0.8,95,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']"
[CWF2012]J327.594666-05.74865,8041.79,113.26,11.32,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
2MASXiJ2041593-152751,8255.68,116.27,11.62,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
PGC060828,8677.49,114.0,23.02,"(104.1, 54.13)","(5.2, 2.7)","(57.53, 29.92)","(12.0, 6.0)",59.0,61.0,2.0,95,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
QP131,8573.15,120.74,12.07,"(62.1, 22.36)","(3.1, 1.1)","(36.35, 13.09)","(3.6, 1.3)",69.0,72.0,2.0,20,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
6dFJ2117218-355401,8733.43,123.00,12.30,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
SOS185924,9142.36,128.76,12.87,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
UGC02608S,9420.45,132.68,13.26,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
